PTT,count_ptt,start_date,end_date,length_of_track,lat_min,lat_max,lon_min,lon_max,delta_lat,delta_lon
161291,264,2018-05-25 20:00:00,2019-05-26 20:00:00,366 days 00:00:00.000000000,35.60970920338473,38.273066314314214,-75.33712032345476,-74.39745086772713,2.663357110929482,0.9396694557276248
161292,70,2017-05-18 20:00:00,2017-07-05 12:00:00,47 days 16:00:00.000000000,35.295498481296676,40.05698105402997,-75.92789903998926,-73.0325870602509,4.761482572733293,2.895311979738352
161294,40,2018-05-31 16:00:00,2018-07-22 04:00:00,51 days 12:00:00.000000000,37.543293307468474,37.85020786076592,-76.23874904946653,-76.01207794790798,0.306914553297446,0.2266711015585514
161295,107,2018-05-25 16:00:00,2018-10-02 20:00:00,130 days 04:00:00.000000000,37.20578211898688,38.970191850494814,-75.1948557954633,-74.02095445228758,1.7644097315079321,1.1739013431757144
161296,318,2018-05-26 04:00:00,2019-05-18 04:00:00,357 days 00:00:00.000000000,34.243771929157795,38.60408222228178,-76.7242853771123,-74.16371377688846,4.360310293123987,2.560571600223838
161297,176,2018-05-27 08:00:00,2018-09-28 04:00:00,123 days 20:00:00.000000000,37.27242291832119,38.85694466059633,-75.41907084924941,-74.07056686998313,1.584521742275136,1.3485039792662832
161298,62,2018-05-27 00:00:00,2018-07-08 20:00:00,42 days 20:00:00.000000000,37.38174322999794,38.79863581913536,-75.1816092150458,-74.26608835415918,1.4168925891374258,0.9155208608866161
161299,152,2018-05-27 12:00:00,2018-12-14 12:00:00,201 days 00:00:00.000000000,35.029240992150065,40.541037999918544,-75.54395195848261,-72.11439021810824,5.511797007768479,3.4295617403743677
161300,66,2017-05-18 04:00:00,2017-07-30 08:00:00,73 days 04:00:00.000000000,35.9782680894053,37.02745413043496,-75.37352824328845,-74.88960910708532,1.0491860410296638,0.4839191362031272
161301,92,2018-05-25 16:00:00,2018-09-06 12:00:00,103 days 20:00:00.000000000,36.99233441376838,38.35768255863256,-75.17460845348121,-74.14744154601688,1.3653481448641784,1.0271669074643341
161303,86,2018-05-26 00:00:00,2018-08-16 20:00:00,82 days 20:00:00.000000000,37.11806600396906,39.08510169786593,-75.6211983819801,-73.49999651590831,1.967035693896868,2.121201866071786
161304,62,2018-05-25 16:00:00,2018-07-19 04:00:00,54 days 12:00:00.000000000,36.930110306898406,37.64388167274828,-76.29621407440288,-74.67089282139109,0.7137713658498726,1.6253212530117906
172179,26,2017-07-13 20:00:00,2017-08-02 08:00:00,19 days 12:00:00.000000000,39.673972183968,40.15654963488029,-73.38223993944254,-72.41066753738646,0.4825774509122951,0.9715724020560828
172188,57,2018-05-25 16:00:00,2018-07-16 20:00:00,52 days 04:00:00.000000000,37.48291664018672,39.55055849242321,-74.81419186431249,-73.07063571879928,2.067641852236484,1.7435561455132103
172191,151,2017-07-14 04:00:00,2017-10-18 20:00:00,96 days 16:00:00.000000000,38.73073854375078,40.40453357135088,-73.846787147456,-72.7083002279021,1.6737950276001001,1.1384869195538982
175932,108,2019-06-04 04:00:00,2019-08-24 20:00:00,81 days 16:00:00.000000000,36.03772750347889,37.781593735926954,-75.4336392023953,-74.59391252751381,1.7438662324480632,0.83972667488149
175934,111,2019-06-04 08:00:00,2019-10-21 04:00:00,138 days 20:00:00.000000000,37.55692119838865,42.766904465347906,-74.71896761674627,-72.72616695880355,5.209983266959256,1.9928006579427233
175935,65,2019-06-07 00:00:00,2019-07-23 08:00:00,46 days 08:00:00.000000000,38.0673008942631,38.71729277289963,-74.65207589944616,-74.00125674451434,0.6499918786365342,0.6508191549318241
175936,107,2019-06-06 08:00:00,2019-09-20 08:00:00,106 days 00:00:00.000000000,38.103203498747504,39.53923679110763,-74.61252981677791,-73.53585353470748,1.436033292360129,1.076676282070423
175938,106,2019-06-05 20:00:00,2019-07-25 08:00:00,49 days 12:00:00.000000000,38.010098109169896,39.785156740650365,-74.70980131335801,-73.41842132793987,1.7750586314804693,1.2913799854181462
175939,101,2019-06-04 08:00:00,2019-08-16 12:00:00,73 days 04:00:00.000000000,28.789014891978873,38.43001246636885,-74.45500181199854,-68.17146957007665,9.640997574389978,6.28353224192189
175940,88,2019-06-05 04:00:00,2019-07-28 00:00:00,52 days 20:00:00.000000000,36.22057253104999,48.306836897399435,-84.91626955381699,-74.68512897996027,12.086264366349447,10.23114057385672
