,REF,PTT,END_DATE,MAX_DBAR,NUM,N_TEMP,N_COND,N_SAL,TEMP_DBAR,TEMP_VALS,COND_DBAR,COND_VALS,SAL_DBAR,SAL_VALS,N_FLUORO,FLUORO_DBAR,FLUORO_VALS,N_OXY,OXY_DBAR,OXY_VALS,QC_PROFILE,QC_TEMP,QC_SAL,SAL_CORRECTED_VALS,CREATED,MODIFIED,N_PHOTO,PHOTO_DBAR,PHOTO_VALS,lat,lon,TF
0,tu102-453-17,161291,05/25/18 20:00:00,28.0,0.0,10,,,"2,5,6,7,8,9,16,18,26,28","17.080,16.530,15.980,10.506,8.411,8.350,8.350,8.411,8.411,8.551",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:17,,,,37.557427553680725,-74.76790654362034,
1,tu102-453-17,161291,05/26/18 04:00:00,6.0,0.0,5,,,"2,3,4,5,6","17.360,17.348,16.716,15.910,15.910",,,,,,,,,,,0,"0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:17,,,,37.53525934431453,-74.69010079298724,
2,tu102-453-17,161291,05/26/18 08:00:00,9.0,0.0,8,,,"2,3,4,5,6,7,8,9","16.820,16.778,16.656,16.410,16.231,15.661,14.740,14.740",,,,,,,,,,,0,"0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:17,,,,37.51283136492287,-74.67552597572616,
3,tu102-453-17,161291,05/26/18 12:00:00,4.0,0.0,3,,,"2,3,4","16.810,16.807,16.706",,,,,,,,,,,0,"0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,37.47999039477506,-74.65908720893495,
4,tu102-453-17,161291,05/26/18 16:00:00,15.0,0.0,9,,,"2,3,5,6,8,9,10,13,15","17.280,17.104,15.979,15.288,13.385,12.782,12.003,10.562,10.011",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,37.466042404024414,-74.65754901086973,
5,tu102-453-17,161291,05/26/18 20:00:00,54.0,0.0,10,,,"2,4,6,8,10,11,16,18,19,54","17.480,17.362,14.532,13.566,12.994,12.136,9.977,8.271,7.926,7.620",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,37.48675899555165,-74.66094428917026,
6,tu102-453-17,161291,05/27/18 12:00:00,15.0,0.0,10,,,"2,4,5,6,7,8,9,11,14,15","17.480,17.414,17.077,16.444,15.487,15.097,14.929,14.903,14.256,14.180",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,37.47716234466049,-74.55526675725275,
7,tu102-453-17,161291,05/27/18 16:00:00,62.0,0.0,10,,,"2,3,6,13,16,19,44,47,54,62","17.970,16.118,13.766,10.743,8.621,7.990,7.960,8.270,10.743,11.013",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,37.480627257036346,-74.5859140008912,
8,tu102-453-17,161291,05/28/18 16:00:00,65.0,0.0,10,,,"2,8,11,12,15,19,21,24,45,65","20.130,18.662,16.460,13.437,11.534,10.800,9.494,8.760,7.690,8.362",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,37.287139624572646,-74.73020867619363,
9,tu102-453-17,161291,05/31/18 08:00:00,3.0,0.0,2,,,"2,3","20.870,20.880",,,,,,,,,,,0,"0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,37.22772772164115,-74.98082586114187,
10,tu102-453-17,161291,06/01/18 00:00:00,39.0,0.0,10,,,"2,3,5,6,8,9,13,15,24,39","21.760,21.442,17.606,16.309,14.391,12.724,9.827,9.046,8.530,8.530",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,37.191801793157566,-75.02708637647038,
11,tu102-453-17,161291,06/03/18 00:00:00,44.0,0.0,10,,,"2,5,6,7,8,13,14,18,24,44","22.110,19.198,17.714,17.000,15.460,11.008,10.910,9.034,8.208,8.110",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,37.04910419915305,-74.97628761732926,
12,tu102-453-17,161291,06/03/18 04:00:00,3.0,0.0,2,,,"2,3","22.660,22.220",,,,,,,,,,,0,"0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,37.06467062913249,-75.00301570069374,
13,tu102-453-17,161291,06/03/18 12:00:00,39.0,0.0,10,,,"2,3,5,10,11,14,15,17,19,39","21.870,19.482,17.944,14.828,13.668,11.172,11.118,9.594,8.744,8.380",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,37.07202698117802,-75.0088450251643,
14,tu102-453-17,161291,06/04/18 20:00:00,27.0,0.0,10,,,"2,3,4,6,9,12,13,14,17,27","18.930,18.531,18.491,17.435,15.171,11.343,10.366,9.738,9.110,8.960",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.744945675819004,-75.02058975908086,
15,tu102-453-17,161291,06/05/18 20:00:00,46.0,0.0,10,,,"2,4,5,7,9,10,11,13,19,46","18.670,17.989,17.430,15.155,11.538,10.694,9.465,8.947,8.662,8.510",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.63866800943985,-74.94702150980882,
16,tu102-453-17,161291,06/06/18 00:00:00,32.0,0.0,10,,,"2,3,6,9,11,12,14,15,19,32","19.890,19.100,17.577,14.341,12.773,11.205,9.682,9.293,8.803,8.770",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.662105668746904,-74.95476323630884,
17,tu102-453-17,161291,06/06/18 04:00:00,3.0,0.0,2,,,"2,3","19.300,19.300",,,,,,,,,,,0,"0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.68427800483939,-74.95071608371526,
18,tu102-453-17,161291,06/06/18 20:00:00,45.0,0.0,10,,,"2,3,4,5,6,8,9,11,13,45","18.040,17.850,16.172,15.623,13.869,12.049,10.674,9.451,8.702,8.560",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.60546377213612,-74.9002627563197,
19,tu102-453-17,161291,06/07/18 16:00:00,28.0,0.0,10,,,"2,4,8,10,11,13,16,18,24,28","19.030,18.866,18.178,16.853,12.498,10.044,9.119,8.873,8.760,8.873",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.6255045368438,-74.99701119427596,
20,tu102-453-17,161291,06/08/18 00:00:00,29.0,0.0,10,,,"2,5,6,7,8,10,11,12,14,29","19.800,19.126,18.238,16.857,14.300,10.480,9.763,9.389,9.100,9.100",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.6409223776436,-75.03879713881419,
21,tu102-453-17,161291,06/08/18 08:00:00,30.0,0.0,10,,,"2,5,6,7,8,9,11,13,14,30","19.680,19.597,19.513,19.264,13.996,11.352,9.634,9.270,9.270,9.301",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.65288029295692,-75.13903388103736,
22,tu102-453-17,161291,06/09/18 16:00:00,29.0,0.0,10,,,"2,3,6,8,9,10,12,14,17,29","20.020,19.715,18.045,16.420,14.969,13.125,10.517,9.623,9.274,9.110",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.65452726521166,-75.09065030364381,
23,tu102-453-17,161291,06/09/18 20:00:00,27.0,0.0,10,,,"2,4,6,9,10,11,13,14,17,27","20.320,19.532,18.355,15.181,13.915,12.173,10.341,9.742,9.253,9.220",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.65004133007899,-75.09319278032352,
24,tu102-453-17,161291,06/10/18 20:00:00,26.0,0.0,10,,,"2,3,5,6,7,8,11,14,18,26","22.620,20.537,18.652,18.506,16.834,16.423,12.827,10.491,9.390,9.350",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.643349470290495,-75.05748854555559,
25,tu102-453-17,161291,06/12/18 00:00:00,35.0,0.0,10,,,"2,7,8,9,11,14,16,18,24,35","18.940,18.586,17.041,16.195,15.073,11.294,9.946,9.326,9.100,9.248",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.511857232394696,-75.05945269754143,
26,tu102-453-17,161291,06/12/18 04:00:00,35.0,0.0,10,,,"2,7,10,11,12,14,15,17,23,35","18.790,18.639,18.120,17.412,16.005,12.305,11.417,10.454,9.416,9.350",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.52357296226705,-75.07789872061036,
27,tu102-453-17,161291,06/12/18 20:00:00,30.0,0.0,10,,,"2,6,8,10,11,13,14,15,21,30","18.810,18.623,18.296,16.426,14.331,10.993,10.114,9.712,9.460,9.525",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.52288263325833,-75.15141063029962,
28,tu102-453-17,161291,06/13/18 04:00:00,32.0,0.0,10,,,"2,6,9,10,11,12,14,16,21,32","18.020,17.850,16.948,16.114,14.208,12.914,11.212,10.310,9.604,9.510",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.60585605831002,-75.15888460484845,
29,tu102-453-17,161291,06/13/18 08:00:00,33.0,0.0,10,,,"2,8,10,11,12,13,14,17,20,33","18.370,18.157,15.659,13.984,11.973,10.963,10.440,9.926,9.643,9.510",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.62152858269585,-75.13875001516072,
30,tu102-453-17,161291,06/13/18 20:00:00,26.0,0.0,10,,,"2,3,6,8,9,10,12,13,16,26","18.340,17.833,17.024,16.078,15.433,14.186,12.802,11.391,10.007,9.740",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.66164850735533,-75.07291136774658,
31,tu102-453-17,161291,06/14/18 12:00:00,3.0,0.0,2,,,"2,3","18.390,18.400",,,,,,,,,,,0,"0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.744447401032154,-74.93669285518317,
32,tu102-453-17,161291,06/15/18 20:00:00,37.0,0.0,10,,,"2,4,6,7,10,12,13,15,18,37","19.360,18.700,17.098,16.732,14.429,12.460,11.099,10.408,9.749,8.890",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.865276374630476,-74.98195709713028,
33,tu102-453-17,161291,06/17/18 00:00:00,4.0,0.0,2,,,"2,4","17.360,17.360",,,,,,,,,,,0,"0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.79571732631462,-74.91509111729556,
34,tu102-453-17,161291,06/17/18 08:00:00,38.0,0.0,10,,,"2,4,8,9,10,11,13,17,29,38","19.780,19.212,17.223,14.902,13.919,13.138,12.854,9.325,8.070,7.940",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.834589288627186,-74.88334972974663,
35,tu102-453-17,161291,06/17/18 16:00:00,43.0,0.0,10,,,"2,8,9,12,13,14,17,24,31,43","19.810,17.863,16.754,12.352,11.102,11.102,9.674,8.565,8.010,8.010",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.82066764713339,-74.92109815008754,
36,tu102-453-17,161291,06/18/18 12:00:00,38.0,0.0,10,,,"2,3,5,10,12,16,18,21,29,38","20.110,19.188,18.184,17.309,16.492,12.093,10.996,9.992,8.755,8.440",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.88278452354151,-75.02159698100009,
37,tu102-453-17,161291,06/19/18 04:00:00,34.0,0.0,10,,,"2,5,8,9,12,13,16,20,26,34","20.650,18.808,17.641,17.012,14.278,14.049,12.070,10.285,9.210,9.210",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.84847989604407,-75.05417021591302,
38,tu102-453-17,161291,06/20/18 12:00:00,32.0,0.0,10,,,"2,3,4,5,7,14,18,26,30,32","22.060,21.958,20.853,20.560,18.959,14.078,12.083,10.036,9.350,9.350",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.924911105402266,-75.10467023924778,
39,tu102-453-17,161291,06/22/18 08:00:00,3.0,0.0,2,,,"2,3","23.950,23.950",,,,,,,,,,,0,"0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,36.99871171660075,-75.1939947507022,
40,tu102-453-17,161291,06/22/18 20:00:00,33.0,0.0,10,,,"2,5,6,7,10,19,25,28,30,33","22.950,19.267,19.104,17.881,16.495,14.579,10.841,9.890,9.360,9.564",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,06/10/19 12:04:17,06/10/19 12:04:21,,,,37.06897157121023,-75.24026590389707,
