,REF,PTT,END_DATE,MAX_DBAR,NUM,N_TEMP,N_COND,N_SAL,TEMP_DBAR,TEMP_VALS,COND_DBAR,COND_VALS,SAL_DBAR,SAL_VALS,N_FLUORO,FLUORO_DBAR,FLUORO_VALS,N_OXY,OXY_DBAR,OXY_VALS,QC_PROFILE,QC_TEMP,QC_SAL,SAL_CORRECTED_VALS,CREATED,MODIFIED,N_PHOTO,PHOTO_DBAR,PHOTO_VALS,lat,lon,TF
0,tu99-01-16,161426,05/20/16 20:00:00,33.0,0.0,10,,,"2,7,9,12,16,18,20,24,32,33","18.000,17.889,17.714,17.687,17.774,17.449,17.306,17.298,16.990,16.990",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,03/10/17 16:35:25,03/10/17 16:35:25,,,,36.96082143028753,-73.86329628753373,True
1,tu99-01-16,161426,05/21/16 08:00:00,10.0,0.0,9,,,"2,3,4,5,6,7,8,9,10","23.400,23.400,23.394,23.337,22.985,22.673,22.654,22.645,22.640",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0",,,03/10/17 16:35:25,03/10/17 16:35:25,,,,37.01058877760328,-73.28695701007085,
2,tu99-01-16,161426,05/22/16 00:00:00,54.0,0.0,10,,,"2,16,30,36,38,39,45,51,53,54","25.100,25.046,24.358,22.846,22.846,23.750,23.325,21.732,18.640,18.350",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,03/10/17 16:35:25,03/10/17 16:35:25,,,,37.506275012030414,-72.50991944145255,
3,tu99-01-16,161426,05/22/16 08:00:00,42.0,0.0,9,,,"2,20,29,32,36,37,39,41,42","25.425,25.450,25.380,25.213,24.822,24.752,24.691,24.479,24.413",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0",,,03/10/17 16:35:25,03/10/17 16:35:25,,,,37.769617816798174,-72.14271779158798,
4,tu99-01-16,161426,05/22/16 16:00:00,99.0,0.0,10,,,"2,30,35,47,76,87,93,95,98,99","25.910,25.802,25.513,23.815,21.585,19.706,17.304,16.907,16.880,17.620",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,03/10/17 16:35:25,03/10/17 16:35:25,,,,37.98089100281573,-71.65600247437817,
5,tu99-01-16,161426,05/23/16 08:00:00,33.0,0.0,10,,,"2,4,12,20,26,27,28,30,31,33","25.742,25.768,25.797,25.800,25.773,25.752,25.579,25.271,25.169,25.130",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,03/10/17 16:35:25,03/10/17 16:35:25,,,,38.35599856554566,-70.37751218419275,
6,tu99-01-16,161426,05/24/16 04:00:00,41.0,0.0,10,,,"2,13,23,24,27,33,37,38,39,41","19.820,19.504,19.008,18.738,18.491,18.276,17.782,17.567,17.027,16.950",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,03/10/17 16:35:25,03/10/17 16:35:25,,,,38.58240404811153,-69.01322617530577,
7,tu99-01-16,161426,05/24/16 12:00:00,45.0,0.0,10,,,"2,18,23,25,26,30,34,35,36,45","19.770,19.565,18.705,18.239,17.776,17.612,17.188,16.683,16.454,16.290",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,03/10/17 16:35:25,03/10/17 16:35:25,,,,38.70278579319433,-69.09800589595353,
8,tu99-01-16,161426,05/25/16 08:00:00,42.0,0.0,10,,,"2,18,19,20,26,27,34,37,40,42","18.180,18.089,17.860,15.739,17.062,17.311,16.664,16.267,17.062,16.575",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,03/10/17 16:35:25,03/10/17 16:35:25,,,,38.99651336320471,-69.28427891907069,
9,tu99-01-16,161426,05/25/16 16:00:00,35.0,0.0,10,,,"2,10,12,13,16,19,20,22,30,35","16.630,17.066,17.218,17.218,17.405,17.449,17.530,17.586,17.650,17.513",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,03/10/17 16:35:25,03/10/17 16:35:25,,,,39.092068624111924,-69.3591120701796,
